,Name,Rating,Reviews,Station,Address,Genre,Lunch Price,Dinner Price,URL
91,Sushi Koma,4.41,164,Ugo Honjo,秋田県由利本荘市桶屋町120,Sushi,"JPY 8,000～JPY 9,999","JPY 10,000～JPY 14,999",https://tabelog.com/en/akita/A0506/A050601/5006041/
92,Komada,4.41,109,Iseshi,三重県伊勢市河崎2-14-18,Sushi,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/mie/A2403/A240301/24012212/
93,Kagurazaka Ishikawa,4.40,601,Ushigome Kagurazaka,東京都新宿区神楽坂5-37 高村ビル　１Ｆ,Japanese Cuisine,"JPY 50,000～JPY 59,999","JPY 50,000～JPY 59,999",https://tabelog.com/en/tokyo/A1309/A130905/13004079/
94,Sushi Hashimoto,4.40,501,Shintomicho,東京都中央区新富1-8-2 grandir ginza east 1F,Sushi,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/tokyo/A1313/A131301/13238306/
95,Kiyama,4.40,461,Marutamachi,京都府京都市中京区絹屋町136 ヴェルドール御所 1F,Japanese Cuisine,"JPY 15,000～JPY 19,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260202/26029017/
96,Ryoriya Uemura,4.40,315,Sannomiya,兵庫県神戸市中央区中山手通1-24-14 ペンシルビル　４Ｆ,Japanese Cuisine,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/hyogo/A2801/A280101/28006093/
97,Kuruma Sushi,4.40,237,Katsuyamacho,愛媛県松山市一番町1-6-9,Sushi,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/ehime/A3801/A380101/38002524/
98,Sushi Gyoten,4.40,224,Yakuin,福岡県福岡市中央区平尾1-2-12 井上ビル 1F,Sushi,"JPY 50,000～JPY 59,999","JPY 50,000～JPY 59,999",https://tabelog.com/en/fukuoka/A4001/A400104/40032025/
99,Aji Dokoro,4.40,101,Kuriyama,北海道夕張郡栗山町湯地40-35,Japanese Cuisine,-,"JPY 10,000～JPY 14,999",https://tabelog.com/en/hokkaido/A0107/A010704/1016052/
100,Japanese cuisine Beppu Hirokado,4.40,92,Beppu,大分県別府市堀田4-2,Japanese Cuisine,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/oita/A4402/A440202/44012162/
101,Tokuyama Zushi,4.39,449,Yogo,滋賀県長浜市余呉町川並1408,"Regional Cuisine, Auberge","JPY 20,000～JPY 29,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/shiga/A2504/A250403/25002104/
102,AKAI,4.39,190,Hiroden Miyajima Guchi,広島県廿日市市宮島口4-3-41,Innovative,"JPY 15,000～JPY 19,999","JPY 15,000～JPY 19,999",https://tabelog.com/en/hiroshima/A3402/A340205/34025803/
103,RESTAURANT UOZEN,4.39,160,Higashi Sanjo,新潟県三条市東大崎1-10-69-8,French,"JPY 15,000～JPY 19,999","JPY 15,000～JPY 19,999",https://tabelog.com/en/niigata/A1501/A150102/15015200/
104,Narayamachi Ao,4.39,148,Gofukumachi,福岡県福岡市博多区奈良屋町4-11-3,"Innovative, Japanese Cuisine",-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/fukuoka/A4001/A400106/40051882/
105,Mikadoya,4.39,147,Nichihara,島根県鹿足郡津和野町日原221-2,"Japanese Cuisine, Suppon (Soft-shell turtle)","JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/shimane/A3204/A320402/32000061/
106,Chinese Sai Naramachi Kuko,4.39,124,Kyobate,奈良県奈良市紀寺町913-2,"Chinese, Sichuan Cuisine","JPY 5,000～JPY 5,999","JPY 15,000～JPY 19,999",https://tabelog.com/en/nara/A2901/A290101/29012623/
107,Ohtsu,4.39,120,Mito,茨城県水戸市白梅1-5-4,French,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/ibaraki/A0801/A080101/8000180/
108,Ushimaru,4.38,496,Matsuo,千葉県山武市松尾町木刀1307-2,Italian,"JPY 15,000～JPY 19,999","JPY 15,000～JPY 19,999",https://tabelog.com/en/chiba/A1205/A120502/12000598/
109,Kiku Zushi,4.38,439,Onojo,福岡県春日市春日公園3-51-3,Sushi,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/fukuoka/A4003/A400301/40010675/
110,OHKUSA,4.38,343,Yotsuya Sanchome,東京都新宿区荒木町7-13 森戸ビル 1Ｆ,Yakitori (Grilled chicken skewers),-,"JPY 8,000～JPY 9,999",https://tabelog.com/en/tokyo/A1309/A130903/13240980/
111,Kusunoki Hon Ten,4.38,296,Yotsuya,東京都新宿区四谷1-9-4,Tempura,"JPY 40,000～JPY 49,999","JPY 100,000～",https://tabelog.com/en/tokyo/A1309/A130902/13223239/
112,Bon.nu,4.38,291,Sangubashi,東京都渋谷区代々木4-22-17 クイーンズ代々木 1F,"French, Cake","JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/tokyo/A1304/A130401/13184186/
113,Iyuki,4.38,213,-,東京都中央区,                            Japanese Cuisine                          ,-,"JPY 60,000～JPY 79,999",https://tabelog.com/en/tokyo/A1301/A130101/13030881/
114,Reminiscence,4.38,173,Kurumamichi,愛知県名古屋市東区筒井3-18-3,"French, Innovative","JPY 20,000～JPY 29,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/aichi/A2301/A230106/23085308/
115,Yoshii,4.38,108,Shinsakae Machi,愛知県名古屋市中区新栄2-8-13 シャトー秋月 1F,Japanese Cuisine,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/aichi/A2301/A230104/23044914/
116,Gastronomy Joel Robuchon,4.37,1730,Ebisu,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス,French,"JPY 30,000～JPY 39,999","JPY 100,000～",https://tabelog.com/en/tokyo/A1303/A130302/13009310/
117,Ebisu Yoroniku,4.37,1502,Ebisu,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F,"Yakiniku (BBQ Beef), Horumon (BBQ Offel)",-,"JPY 10,000～JPY 14,999",https://tabelog.com/en/tokyo/A1303/A130302/13211927/
118,Ginza Kitagawa,4.37,263,Ginza Itchome,東京都中央区銀座2-10-11 マロニエ通り銀座館 3F,"Japanese Cuisine, Tempura",-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/tokyo/A1301/A130101/13275790/
119,Sushi Dokoro Hisada,4.37,243,-,岡山県赤磐市桜が丘西9-1-4,                            Sushi                          ,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/okayama/A3301/A330104/33000059/
120,torila,4.37,233,Nishitetsu Hirao,福岡県福岡市中央区平尾3-10-9 イートオンプレイス平尾 202,"Yakitori (Grilled chicken skewers), Chicken dishes",-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/fukuoka/A4001/A400104/40001934/
121,Hiyama,4.37,181,Higashi Kawaguchi,埼玉県川口市東川口2-6-8,Japanese Cuisine,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/saitama/A1102/A110201/11010989/
122,f,4.37,88,Akita,秋田県秋田市中通5-5-31 KMビル 3F,Italian,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/akita/A0501/A050101/5009499/
